date,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
2005-02-25,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.4042,14.7244,16.7165,16.2007
2005-02-28,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5268,14.7244,16.7165,16.2007
2005-03-01,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5964,14.7244,16.7165,16.2007
2005-03-02,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.4287,14.7244,16.7165,16.2007
2005-03-03,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.4131,14.7244,16.7165,16.2007
2005-03-04,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.6179,14.7244,16.7165,16.2007
2005-03-07,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5356,14.7244,16.7165,16.2007
2005-03-08,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.565,14.7244,16.7165,16.2007
2005-03-09,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5101,14.7244,16.7165,16.2007
2005-03-10,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.565,14.7244,16.7165,16.2007
2005-03-11,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.6336,14.7244,16.7165,16.2007
2005-03-14,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5042,14.7244,16.7165,16.2007
2005-03-15,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5101,14.7244,16.7165,16.2007
2005-03-16,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.5964,14.7244,16.7165,16.2007
2005-03-17,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.467,14.7244,16.7165,16.2007
2005-03-18,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.3366,14.7244,16.7165,16.2007
2005-03-21,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.1435,14.7244,16.7165,16.2007
2005-03-22,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9817,14.7244,16.7165,16.2007
2005-03-23,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9268,14.7244,16.7165,16.2007
2005-03-24,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9268,14.7244,16.7165,16.2007
2005-03-28,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9582,14.7244,16.7165,16.2007
2005-03-29,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.8729,14.7244,16.7165,16.2007
2005-03-30,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.0209,14.7244,16.7165,16.2007
2005-03-31,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.967,14.7244,16.7165,16.2007
2005-04-01,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9366,14.7244,16.7165,16.2007
2005-04-04,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9052,14.7244,16.7165,16.2007
2005-04-05,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,12.9141,14.7244,16.7165,16.2007
2005-04-06,87.4353,21.2062,33.4397,17.4077,19.6046,21.3689,13.0141,14.7244,16.7165,16.2007
