,Q,Omega
2005-11-25,0.0007695372517071029,0.001052777923137637
2005-11-28,0.0007688655976795856,0.0010509409907469979
2005-11-29,0.0007682145544569536,0.0010491619585413258
2005-11-30,0.0007632356831645562,0.001035606592098963
2005-12-01,0.0007658279819705122,0.0010426533297227146
2005-12-02,0.0007680105619733581,0.0010486048414269035
2005-12-05,0.0007677179962126812,0.0010478060830378915
2005-12-06,0.0007696352483983631,0.0010530460721372627
2005-12-07,0.0007693896323552243,0.0010523740557790346
2005-12-08,0.0007715513374645234,0.0010582959401658574
2005-12-09,0.000772029710380288,0.0010596086643731037
2005-12-12,0.0007712768773453178,0.0010575431493823012
2005-12-13,0.0007717714016348445,0.001058899726900289
2005-12-14,0.0007707597940188989,0.0010561256179129873
2005-12-15,0.0007676227634451346,0.0010475461457051464
2005-12-16,0.0007707144263714465,0.001056001292474787
2005-12-19,0.0007635969885381762,0.0010365873082747936
2005-12-20,0.0007586435751449915,0.0010231823539711537
2005-12-21,0.0007593355329004287,0.001025049691600316
2005-12-22,0.0007593774375198287,0.0010251628313140998
2005-12-23,0.0007593372803078886,0.0010250544093606772
2005-12-27,0.0007622833504415066,0.0010330238335294734
2005-12-28,0.0007589769001081451,0.0010240816620404782
2005-12-29,0.0007583206589655022,0.001022311505446886
2005-12-30,0.0007603544747098548,0.0010278025372645317
2006-01-03,0.0007609761393195129,0.0010294838837575655
2006-01-04,0.0007983604347064204,0.0011331189043637768
2006-01-05,0.0008020201883061355,0.00114353134657886
2006-01-06,0.000802685586961852,0.0011454296026956311
2006-01-09,0.0008032297172012783,0.0011469830730582138
2006-01-10,0.0008033916387044661,0.001147445555804884
2006-01-11,0.0008049255841718828,0.0011518314596523495
2006-01-12,0.0008020837285680557,0.0011437125469042388
2006-01-13,0.0008045130213758575,0.0011506510250014414
2006-01-17,0.0008043758166779697,0.0011502585857001784
2006-01-18,0.0008044427013875526,0.0011504498841168052
2006-01-19,0.0008024099432850927,0.0011446430525916187
2006-01-20,0.0007980334458390567,0.0011321908989826816
2006-01-23,0.0008010407350484648,0.001140740016367973
2006-01-24,0.0008099190365590796,0.0011661668369436226
2006-01-25,0.0008103215714283408,0.0011673263095503916
2006-01-26,0.0008104132311078023,0.0011675904091637125
2006-01-27,0.000810099199927728,0.0011666857132863015
2006-01-30,0.0008085860131915245,0.001162331272407047
2006-01-31,0.0008089318350660699,0.0011633257133926386
2006-02-01,0.0008097206876364236,0.0011655957190869377
2006-02-02,0.0008098226353203802,0.001165889245648436
2006-02-03,0.0008035027792295395,0.0011477630510748338
2006-02-06,0.0008039655050350382,0.0011490853925088783
2006-02-07,0.0008033436403454337,0.0011473084524150278
2006-02-08,0.0008030782644049139,0.0011465505755726376
2006-02-09,0.0007969578486992805,0.0011291410001837956
2006-02-10,0.0007969089335916039,0.001129002397223302
2006-02-13,0.0007984154722903277,0.0011332751402534876
2006-02-14,0.0008002547149652079,0.0011385024156871928
2006-02-15,0.0007964299867600798,0.0011276457312189522
2006-02-16,0.0007979467087057791,0.0011319447998833514
2006-02-17,0.0007932652357252305,0.0011187017497070316
2006-02-21,0.0007920716917420423,0.0011153378930828454
2006-02-22,0.0007937555873364487,0.001120085213205032
2006-02-23,0.0007939065358678209,0.0011205112670109212
2006-02-24,0.00079490113289791,0.0011233205530353433
2006-02-27,0.0007937063511352813,0.0011199462610355238
2006-02-28,0.0007939722895249193,0.0011206968827261192
2006-03-01,0.000794702659233806,0.0011227596739436137
2006-03-02,0.0007940962245329689,0.0011210467801200273
2006-03-03,0.0007949621387306949,0.0011234929813604983
2006-03-06,0.0007949735178165643,0.0011235251449415874
2006-03-07,0.0007958534893026155,0.0011260138247735968
2006-03-08,0.0008025205475100527,0.0011449586296459282
2006-03-09,0.0008012817593879946,0.0011414265918718576
2006-03-10,0.0008038051530146196,0.0011486270649117437
2006-03-13,0.0008072628385228264,0.0011585302941509877
2006-03-14,0.0007973106908419998,0.0011301410448550167
2006-03-15,0.0008021816584459593,0.001143991845594861
2006-03-16,0.0008008151707257951,0.001140097666959261
2006-03-17,0.0008002040932394517,0.0011383583837105296
2006-03-20,0.0008002709625657565,0.0011385486462683059
2006-03-21,0.0007916843323709005,0.0011142472571049925
2006-03-22,0.0007834006408653396,0.0010910516695257326
2006-03-23,0.0007818267939073075,0.0010866722411935629
2006-03-24,0.0007882899632838898,0.001104713006602873
2006-03-27,0.0007852806605652029,0.001096294605969282
2006-03-28,0.0007840785439625195,0.0010929407344042383
2006-03-29,0.0007877936899976062,0.0011033224853334122
2006-03-30,0.000789502680638122,0.0011081146359729428
2006-03-31,0.0007915618534075414,0.0011139025204799683
2006-04-03,0.00079133804053634,0.0011132727011553673
2006-04-04,0.000790249340995214,0.0011102115927882133
2006-04-05,0.0007960211055229403,0.0011264881785563801
2006-04-06,0.0007968804837009194,0.0011289217872060646
2006-04-07,0.0007973877695861721,0.00113035956459664
2006-04-10,0.0008017841289319099,0.0011428582922792918
2006-04-11,0.0007998541839129886,0.001137363049818867
2006-04-12,0.0008013899749156764,0.0011417349189250634
2006-04-13,0.0008014193557082203,0.0011418186376956066
2006-04-17,0.0007983918551647613,0.001133208096699429
2006-04-18,0.0008043184398839516,0.001150094493755295
2006-04-19,0.0008057392346926421,0.0011541612699077052
2006-04-20,0.0008039804419818102,0.001149128090825363
2006-04-21,0.000797370964472868,0.001130311919972252
2006-04-24,0.0007976866535075919,0.0011312071061051396
2006-04-25,0.0007943544125346765,0.0011217758803792192
2006-04-26,0.0007970194659842783,0.0011293156073917583
2006-04-27,0.0007973052142240618,0.0011301255193402254
2006-04-28,0.0007977703088844324,0.0011314443835334447
2006-05-01,0.0007946782245984825,0.0011226906322684374
2006-05-02,0.0007957738161481028,0.0011257883848300701
2006-05-03,0.0007965782663746373,0.0011280656612629733
2006-05-04,0.0007985028233332282,0.00113352312688202
2006-05-05,0.0008000080421026102,0.001137800653206847
2006-05-08,0.0008010063967949049,0.0011406422181446335
2006-05-09,0.000801006768855898,0.00114064327778305
2006-05-10,0.0008020617521812609,0.0011436498743325767
2006-05-11,0.0008001227225356164,0.0011381268819872122
2006-05-12,0.0008018625845104821,0.0011430819634450306
2006-05-15,0.0007987198857109855,0.0011341394770314128
2006-05-16,0.0008052738879143794,0.001152828505878649
2006-05-17,0.0008051483099654041,0.0011524689796269273
2006-05-18,0.0008438442357904788,0.001265907723158786
2006-05-19,0.0008493034485356699,0.0012823401736792555
2006-05-22,0.0008453657866803586,0.0012704770014039136
2006-05-23,0.0008578806703340103,0.0013083719902804106
2006-05-24,0.0008570543648025007,0.001305852771959143
2006-05-25,0.0008560967035840851,0.0013029361171333984
2006-05-26,0.0008584570010676928,0.001310130529212687
2006-05-30,0.0008587128573970054,0.0013109115937047634
2006-05-31,0.0008624110449655924,0.001322227218628702
2006-06-01,0.0008635083247391293,0.0013255940033667154
2006-06-02,0.000862508815755201,0.0013225270351207802
2006-06-05,0.0008597778502318145,0.0013141652475542043
2006-06-06,0.0008674789732325275,0.001337812922667662
2006-06-07,0.0008677536105901473,0.0013386601398973094
2006-06-08,0.000870559046842879,0.0013473298738488567
2006-06-09,0.000886789526238436,0.0013980367357265596
2006-06-12,0.0008865400852479935,0.001397250351558256
2006-06-13,0.0008965321009442671,0.001428924103152962
2006-06-14,0.0009175778610257469,0.0014967984551903725
2006-06-15,0.0009251753527273147,0.0015216878814117527
2006-06-16,0.0009731209366069092,0.0016834921906892586
2006-06-19,0.0009820701762105653,0.0017145988106706672
2006-06-20,0.0009807801379813114,0.00171009720721536
2006-06-21,0.000978477060658712,0.0017020753035294435
2006-06-22,0.0009822317253488692,0.0017151629551676727
2006-06-23,0.0009823802376464571,0.0017156816556769942
2006-06-26,0.000981569703570246,0.0017128517030524097
2006-06-27,0.0009821272017139448,0.0017147979383937125
2006-06-28,0.0009849807843359496,0.0017247771475752218
2006-06-29,0.0009879087505156976,0.0017350465766141979
2006-06-30,0.0010083679998035304,0.001807655152049373
2006-07-03,0.0010077835972507484,0.0018055604958002814
2006-07-05,0.0010128718173849482,0.0018238387883603335
2006-07-06,0.0010157275881015752,0.0018341378368544757
2006-07-07,0.0010172496310449882,0.0018396387766420699
2006-07-10,0.001020820042899553,0.0018525752177519024
2006-07-11,0.0010210816950747459,0.0018535250275852726
2006-07-12,0.001020713687670095,0.001852189212794816
2006-07-13,0.0010235970091713193,0.001862668154994613
2006-07-14,0.0010311179414316484,0.001890140816252871
2006-07-17,0.0010293004073008152,0.001883483250612665
2006-07-18,0.0010310539392461788,0.001889906178906778
2006-07-19,0.0010291619958718208,0.0018829767355499898
2006-07-20,0.001030477954192991,0.0018877952250271508
2006-07-21,0.0010304834610802764,0.0018878154018844187
2006-07-24,0.0010308355799484438,0.0018891057651335898
2006-07-25,0.0010278678038874332,0.0018782439506993326
2006-07-26,0.0010283517374602795,0.0018800129705556896
2006-07-27,0.0010242754966475198,0.0018651382987244856
2006-07-28,0.00102312073342834,0.0018609351736372337
2006-07-31,0.0010326093360124885,0.0018956125170136039
2006-08-01,0.0010327561419381627,0.001896151553263997
2006-08-02,0.0010327725859866747,0.0018962119366499617
2006-08-03,0.0010285740781250745,0.001880826016339282
2006-08-04,0.0010302390189563645,0.0018869198865425285
2006-08-07,0.0010230457250367132,0.0018606623209171443
2006-08-08,0.0010238224685438836,0.0018634887948360728
2006-08-09,0.0010186337436743182,0.0018446483622257
2006-08-10,0.0010188603121527736,0.0018454690412089718
2006-08-11,0.0010195176708472403,0.001847851166524056
2006-08-14,0.0010212238334096164,0.0018540410985312566
2006-08-15,0.0010214928750933833,0.0018550181224294155
2006-08-16,0.0010338879156921096,0.0019003097283807541
2006-08-17,0.0010298189853434757,0.0018853815867979824
2006-08-18,0.0010298407382358273,0.0018854612375646459
2006-08-21,0.0010294396676725098,0.0018839929411158883
2006-08-22,0.0010260766925643166,0.001871703784931069
2006-08-23,0.0010237480235852727,0.001863217805857336
2006-08-24,0.0010242875075401477,0.001865182041071659
