date,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
2020-01-02,300.272,31.2685,57.4003,27.8917,30.4747,28.5547,38.7735,21.0549,33.1269,31.6825
2020-01-03,297.994,30.9836,56.7674,27.3597,30.1607,28.4108,38.5196,20.8328,32.7398,30.838
2020-01-06,299.123,31.1762,56.9695,27.3956,30.2988,28.5547,38.7,20.9433,32.6914,30.8186
2020-01-07,298.29,30.9758,57.0655,27.35,30.1063,28.5815,38.5285,20.9172,32.6321,30.8565
2020-01-08,299.871,31.0023,57.0754,27.6024,30.2074,28.5547,38.5569,21.0374,32.7684,31.054
2020-01-09,301.899,31.02,57.4775,27.8539,30.2346,28.6014,38.4814,21.0452,32.8366,30.8945
2020-01-10,301.039,30.7921,57.0754,27.7801,30.0966,28.5815,38.2344,21.1567,32.6716,30.5296
2020-01-13,303.113,30.8756,57.4003,27.8539,30.2531,28.7344,38.4716,21.3235,32.8366,30.9412
2020-01-14,302.645,30.9836,57.4201,27.8354,30.2715,28.7532,38.6422,21.4534,32.9235,31.017
2020-01-15,303.344,30.9836,57.2101,27.7519,30.2531,28.9061,38.8118,21.5543,32.8464,30.8283
2020-01-16,305.852,31.0937,57.2458,27.816,30.3736,29.058,38.9637,21.7957,32.9916,31.2505
2020-01-17,306.8,31.2135,57.2854,27.8636,30.4941,29.1255,39.3706,21.7773,33.0588,31.4295
2020-01-21,306.207,30.8834,56.9784,27.8354,30.1423,29.1344,39.399,21.6018,32.7585,31.3069
2020-01-22,306.243,31.0121,57.2369,27.8063,30.0402,28.9825,39.5313,21.722,32.7585,31.1007
2020-01-23,306.609,30.8834,57.3042,27.6577,29.9848,29.0967,39.351,21.7036,32.5759,30.9042
2020-01-24,303.851,30.8196,57.0843,27.6577,29.8361,28.9627,39.1147,21.5281,32.6321,30.876
2020-01-27,298.988,30.1683,56.0574,27.0325,29.1887,28.6014,38.6235,21.0636,31.7997,30.015
2020-01-28,302.119,30.3795,56.5565,27.247,29.4667,28.8207,38.9637,21.2401,32.1196,30.3798
2020-01-29,301.87,30.3618,56.3743,27.2101,29.5591,28.6679,39.0206,21.148,32.1976,30.2582
2020-01-30,302.865,30.3431,56.298,27.0888,29.4667,28.7165,39.1333,21.1383,32.2747,30.3798
2020-01-31,297.351,29.8854,55.3771,26.6305,29.0497,28.2589,38.5667,20.6098,31.6555,29.9858
2020-02-03,299.553,29.6565,55.7989,26.6878,29.1615,28.2112,38.6039,20.6573,31.9448,29.9673
2020-02-04,304.128,30.1231,56.6427,27.1635,29.5872,28.5815,39.0676,21.018,32.5759,30.8663
2020-02-05,307.653,30.3068,57.1517,27.4713,29.8458,28.792,39.6451,21.148,32.9916,31.4101
2020-02-06,308.685,30.2243,57.5835,27.5558,29.9935,28.926,39.551,21.1848,33.1466,31.3527
2020-02-07,307.03,29.8755,57.0259,27.2936,29.8186,28.6967,39.3804,20.9172,32.8464,31.1766
2020-02-10,309.347,29.9865,56.9606,27.2936,29.8458,28.792,39.6451,20.9899,32.9817,31.447
2020-02-11,309.863,30.2331,57.2458,27.517,29.9304,28.9825,39.7304,21.1383,33.2908,31.8226
2020-02-12,311.872,30.463,56.9695,27.7238,30.1325,29.1543,39.7676,21.4069,33.5614,32.0658
2020-02-13,311.537,30.2793,56.4713,27.5004,29.9304,29.049,39.551,21.2866,33.4814,31.7564
2020-02-14,312.045,30.1427,56.0475,27.517,29.873,29.1543,39.6637,21.3419,33.4666,31.7467
2020-02-18,311.231,29.9944,55.2146,27.2655,29.7816,29.0679,39.6735,21.2769,33.1071,31.447
2020-02-19,312.697,30.0966,55.1186,27.5364,29.9576,29.3161,40.0049,21.3885,33.2721,31.5686
2020-02-20,311.432,29.9777,54.7641,27.3868,29.8186,29.2774,39.7206,21.2217,33.1565,31.5511
2020-02-21,308.206,29.9404,54.3026,27.2004,29.6883,29.1731,39.6931,21.0549,32.8563,31.4665
2020-02-24,298.003,28.7321,52.4715,26.0431,28.448,28.4961,37.9412,20.1569,31.4323,29.9673
2020-02-25,288.969,28.1181,52.3853,25.4567,27.7647,27.8976,37.0893,19.8699,30.7697,29.2552
2020-02-26,287.906,28.0444,52.6438,25.3702,27.7356,27.6196,37.1648,19.6197,30.7253,29.4615
2020-02-27,274.985,26.9835,50.8414,24.7265,26.9968,26.6309,36.1521,19.1571,29.7279,28.4594
2020-02-28,273.828,26.8273,50.784,24.4741,26.7655,26.2785,35.859,18.6286,29.4771,28.4594
2020-03-02,285.687,27.0375,51.4267,24.8576,27.4041,26.8295,36.6168,18.9069,30.2315,29.011
2020-03-03,277.494,26.6986,50.7652,24.5411,27.0328,26.5059,36.7295,18.7217,29.9511,28.8904
2020-03-04,289.159,27.7703,51.8674,25.3149,27.9776,26.9913,38.1873,19.2308,31.0946,29.7047
2020-03-05,279.56,26.9638,50.9276,24.5217,26.9968,26.5724,37.0511,18.6664,30.0864,28.5713
2020-03-06,274.939,26.4982,50.4384,24.2789,26.4049,26.0016,36.5972,18.3144,29.7081,28.2717
2020-03-09,253.442,23.9981,47.8685,22.1778,23.9525,22.7735,34.1453,16.147,27.4329,25.8931
2020-03-10,266.562,24.9136,49.2985,22.907,24.803,23.3353,35.5178,17.5376,28.3246,26.9593
2020-03-11,253.565,23.4401,47.6289,21.6283,23.3411,22.3059,33.7571,16.1655,26.6972,25.395
2020-03-12,229.321,21.0952,42.9596,18.8835,20.3813,19.3349,30.2073,14.0001,24.0734,22.4347
2020-03-13,248.923,21.9931,44.3698,19.8088,21.8626,21.4304,32.5542,15.9812,24.9928,24.2801
2020-03-16,221.675,19.3554,41.4444,17.4834,19.0963,18.9915,29.3926,13.4075,22.3976,21.349
2020-03-17,233.657,20.1885,43.4765,18.1184,19.8914,18.6292,30.7651,14.4073,23.2795,22.5105
2020-03-18,221.817,18.5322,42.5565,16.83,18.5315,17.7348,29.6867,12.7035,21.7202,20.7692
2020-03-19,222.297,18.8711,43.1517,16.9426,18.5685,18.106,30.7651,12.9159,22.3878,21.4891
