,SPY,EWU,EWJ,EWG,EWQ,EWC,EWL,EWA,EWN,EWD
SPY,1.0,0.7932874179798785,0.7459439164556249,0.802481615928975,0.8004836733167189,0.8394971345842459,0.7879357744028666,0.8358751488441512,0.8329548889043665,0.7908862625662666
EWU,0.7932874179798785,1.0,0.7384503179472702,0.8778358580578859,0.900899209198084,0.8568229914527602,0.8221729804269259,0.8756110477755056,0.8100793834106289,0.8508232846151312
EWJ,0.7459439164556249,0.7384503179472702,1.0,0.7489860632551464,0.7497060739695487,0.7195844209868437,0.6992487711917779,0.7465402288362651,0.7559574983853583,0.7326318087708862
EWG,0.802481615928975,0.8778358580578859,0.7489860632551464,1.0,0.9491820954057565,0.8005698503419338,0.8417369645042556,0.8127608199503991,0.9028002067310755,0.9001471201391136
EWQ,0.8004836733167189,0.900899209198084,0.7497060739695487,0.9491820954057565,1.0,0.8151097188732368,0.8512956342855663,0.8281067765598756,0.8799364908703314,0.8891341008853774
EWC,0.8394971345842459,0.8568229914527602,0.7195844209868437,0.8005698503419338,0.8151097188732368,1.0,0.7699661035596223,0.8698984385477593,0.7672538987130193,0.7964643045822433
EWL,0.7879357744028666,0.8221729804269259,0.6992487711917779,0.8417369645042556,0.8512956342855663,0.7699661035596223,1.0,0.7916390511911762,0.8209098784184156,0.8401503264310183
EWA,0.8358751488441512,0.8756110477755056,0.7465402288362651,0.8127608199503991,0.8281067765598756,0.8698984385477593,0.7916390511911762,1.0,0.7808126760832788,0.8083738774013652
EWN,0.8329548889043665,0.8100793834106289,0.7559574983853583,0.9028002067310755,0.8799364908703314,0.7672538987130193,0.8209098784184156,0.7808126760832788,1.0,0.8803571830269262
EWD,0.7908862625662666,0.8508232846151312,0.7326318087708862,0.9001471201391136,0.8891341008853774,0.7964643045822433,0.8401503264310183,0.8083738774013652,0.8803571830269262,1.0
