,Annualized Mean,Annualized Vol,Sharpe Ratio,Skewness,Kurtosis
SPY,0.13347082399167207,0.2108445046289646,0.6330296548470565,-0.8103135947742803,12.37571284748369
EWU,0.016199332512689367,0.2216676604441689,0.07307936791604956,-1.1692019701405365,15.147629062878568
EWJ,0.03130143005139506,0.1909439371399092,0.16392994991226012,-0.6198224579374145,7.046901790388434
EWG,0.02641606927924292,0.2458967031922389,0.10742750486813633,-0.9140372754232803,11.974102495886877
EWQ,0.03273458067905695,0.2451365298429287,0.13353611842360516,-1.1076250266496208,12.951681638535733
EWC,0.06907043801022882,0.22972702771910702,0.3006630899986351,-1.2770815365366126,22.920452758626766
EWL,0.03408804789595263,0.1914263766961241,0.17807393361503676,-0.8877784952339434,13.445032273096288
EWA,0.025073720240474662,0.2775086732109149,0.09035292465045908,-1.2025928008316653,21.249899430494924
EWN,0.05912453343183433,0.2519382690890141,0.23467865221755818,-0.4721328747285031,5.44950759781082
EWD,0.03288486027685572,0.27778378619168065,0.11838293633943056,-0.6192466750610358,6.348465829608994
